,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
356,Boulder,Colorado,40.0149856,-105.27055,Southwest,,2016,,Solar,On-site,0.021,,25,,,,GRID Alternatives,Bouler Housing Parterns Administrative Building Solar Array,Boulder County,Colorado,2016,31,https://boulderhousing.org/news/solar-garden-installation-completed-clean-affordable-energy-production-begin-2021,,,,,,,,,,,,,,,,,,,,,,,
357,Boulder,Colorado,40.0149856,-105.27055,Southwest,,2018,,Solar,Community Solar,0.089,,,,,,GRID Alternatives,Palo Park Affordable Apartment Community Solar Garden,Boulder County,Colorado,2018,,https://boulderhousing.org/news/solar-garden-installation-completed-clean-affordable-energy-production-begin-2021,,,,,,,,,,,,,,,,,,,,,,,
358,Boulder,Colorado,40.0149856,-105.27055,Southwest,,2018,,Solar,Community Solar,0.160,,,,,,GRID Alternatives,,Plateville,Colorado,2018,,https://boulderhousing.org/news/solar-garden-installation-completed-clean-affordable-energy-production-begin-2021,,,,,,,,,,,,,,,,,,,,,,,
359,Boulder,Colorado,40.0149856,-105.27055,Southwest,2015,2015,09/22/2015,Solar,Community Solar,0.500,,,,Xcel Energy,Investor-owned Utility,Clean Energy Collective,,Boulder County,Colorado,2021,"1,928",https://www.boulderhousing.org/news/nations-first-large-scale-solar-garden-dedicated-100-affordable-housing-providers,https://boulderhousing.org/news/solar-garden-installation-completed-clean-affordable-energy-production-begin-2021,,,,,,,,,,,,,,,,,,,,,,
360,Boulder,Colorado,40.0149856,-105.27055,Southwest,2019,2019,04/16/2019,Solar,On-site,2.100,,,,Xcel Energy,Investor-owned Utility,"Unico Solar, Namaste Solar",Boulder Generation Solar (rooftop- and ground-installed solar projects across 11 city-owned properties),Boulder,Colorado,2021,,https://bouldercolorado.gov/projects/generation-solar,https://news.yahoo.com/boulders-generation-solar-project-now-140800007.html,https://mobile.twitter.com/unicoprop/status/1124020595384115200?lang=ar,,,,,,,,,,,,,,,,,,,,,
361,Breckenridge,Colorado,39.4829124,-106.04655,Southwest,2020,2020,03/10/2020,Solar,Community Solar,3.600,,20,,Xcel Energy,Investor-owned Utility,Pivot Energy,,,,,,https://www.prnewswire.com/news-releases/town-of-breckenridge-partners-with-pivot-energy-to-mitigate-climate-change-301020255.html,,,,,,,,,,,,,,,,,,,,,,,
362,Colorado Springs,Colorado,38.8339578,-104.82535,Southwest,2015,2015,,Solar,Community Solar,0.627,DC,20,,Colorado Springs Utilities (CSU),Municipal Utility,SunShare,Colorado Springs Solar 1,Colorado Springs,Colorado,2015,"1,128",https://www.transmissionhub.com/articles/2015/01/nrg-renew-sunshare-team-on-community-solar-projects-in-colorado.html,https://data.nrel.gov/submissions/131,https://www.csu.org/Pages/SolarGardens.aspx,https://mysunshare.com/gardens/colorado-springs-solar-garden/,,,,,,,,,,,,,,,,,,,,
363,Colorado Springs,Colorado,38.8339578,-104.82535,Southwest,,2015,,Solar,Community Solar,2.570,DC,20,,Colorado Springs Utilities (CSU),Municipal Utility,SunShare,Pikes Peak Solar Garden,Colorado Springs,Colorado,2015,"4,945",https://data.nrel.gov/submissions/114,https://www.csu.org/Pages/SolarGardens.aspx,https://gazette.com/government/pikes-peak-solar-garden-is-10-000-panels-strong/article_a6039e6e-c53b-5349-8353-54cd0dd20855.html,https://mysunshare.com/gardens/pikes-peak-solar-garden/,,,,,,,,,,,,,,,,,,,,
364,Colorado Springs,Colorado,38.8339578,-104.82535,Southwest,2015,2015,08/03/2015,Solar,Off-site Physical PPA,10.000,,25,,Colorado Springs Utilities (CSU),Municipal Utility,NextEra Energy Resources,Clear Spring Solar Ranch,El Paso County,Colorado,2016,,https://www.csindy.com/IndyBlog/archives/2015/08/03/clear-spring-ranch-is-a-go,,,,,,,,,,,,,,,,,,,,,,,
365,Colorado Springs,Colorado,38.8339578,-104.82535,Southwest,2018,2018,07/18/2018,Solar,Off-site Physical PPA,35.000,,25,,Colorado Springs Utilities (CSU),Municipal Utility,NextEra Energy Resources,Grazing Yak Project,Calhan,Colorado,2019,,https://www.publicpower.org/periodical/article/colorado-springs-utilities-signs-deals-95-mw-solar,,,,,,,,,,,,,,,,,,,,,,,
366,Colorado Springs,Colorado,38.8339578,-104.82535,Southwest,2018,2018,07/18/2018,Solar,Off-site Physical PPA,60.000,,20,,Colorado Springs Utilities (CSU),Municipal Utility,juwi,Palmer Solar Project,El Paso County,Colorado,2020,,https://www.publicpower.org/periodical/article/colorado-springs-utilities-signs-deals-95-mw-solar,https://news.duke-energy.com/releases/duke-energy-renewables-acquires-palmer-solar-project-in-colorado,,,,,,,,,,,,,,,,,,,,,,
367,Colorado Springs,Colorado,38.8339578,-104.82535,Southwest,2020,2020,09/21/2020,Solar,Off-site Physical PPA,175.000,,17,,Colorado Springs Utilities (CSU),Municipal Utility,juwi Inc.,Pike Solar and Storage Project,El Paso County,Colorado,2023,,https://www.renewablepress.com/energy/press-release-6804-colorado-springs-utilities-and-juwi-sign-power-purchase-agreement-for-one-of-the-largest-battery-storage-projects-in-the-state,https://www.csu.org/Pages/SolarGardens.aspx,,,,,,,,,,,,,,,,,,,,,,
368,Denver,Colorado,39.7392364,-104.98486,Southwest,2015,2015,06/30/2015,Solar,Community Solar,0.400,,20,,Xcel Energy,Investor-owned Utility,SunShare,Denver Community Solar Gardens,Denver,Colorado,,,https://www.innovationews.com/SunShare-to-provide-400KW-of-solar-energy-to-power-16-city-owned-locations/,,,,,,,,,,,,,,,,,,,,,,,
369,Denver,Colorado,39.7392364,-104.98486,Southwest,2017,2017,09/18/2017,Solar,Community Solar,2.000,,,,Xcel Energy,Investor-owned Utility,Namaste Solar,,Aurora,Colorado,,,https://www.innovationews.com/SunShare-to-provide-400KW-of-solar-energy-to-power-16-city-owned-locations/,https://www.enterprisecommunity.org/financing-and-development/community-loan-fund/denver-housing-authority-solar,,,,,,,,,,,,,,,,,,,,,,
370,Denver,Colorado,39.7392364,-104.98486,Southwest,2020,2020,08/05/2020,Solar,Community Solar,4.600,DC,,,Xcel Energy,Investor-owned Utility,Mckinstry,,Denver,Colorado,,,https://www.solarpowerworldonline.com/2020/08/denver-looks-to-install-15-mw-of-community-solar-gardens/,https://www.solarpowerworldonline.com/2021/01/four-community-solar-arrays-in-denver-to-open-to-both-residential-and-commercial-customers/,,,,,,,,,,,,,,,,,,,,,,
371,Denver,Colorado,39.7392364,-104.98486,Southwest,2021,2021,10/04/2021,Solar,On-site,18.500,,25,,Xcel Energy,Investor-owned Utility,Greenbacker Renewable Energy Company,Two solar projects at the Denver International Airport,Denver,Calorado,2022,"36,000",https://pv-magazine-usa.com/2021/10/04/greenbacker-adds-two-denver-airport-solar-projects-to-its-portfolio/,https://www.aviationpros.com/airports/press-release/21266867/denver-international-airport-16-new-gates-revealed-as-part-of-dens-gate-expansion-program,"https://www.flydenver.com/about/administration/energy_management#:~:text=Since%202008%2C%20DEN%20has%20been,2%2C500%20typical%20Denver%2Darea%20homes.",https://www.flydenver.com/sites/default/files/downloads/21-69%20New%20Solar%20Projects.pdf,,,,,,,,,,,,,,,,,,,,
372,Dolores,Colorado,37.7524811,-108.4596087,Southwest,2021,2021,08/13/2021,Solar,On-site,0.126,,25,,Empire Electric Association,Investor-owned Utility,Shaw Solar,"Dolores Town Halls, public works shop and wastewater facility  solar arrays",Dolores,Colorado,2021,,https://www.the-journal.com/articles/dolores-taps-into-solar-for-public-buildings/,,,,,,,,,,,,,,,,,,,,,,,
373,Fort Collins,Colorado,40.5508527,-105.06681,Southwest,,2016,,Solar,Community Solar,0.065,,,,Fort Collins Utilities,Municipal Utility,,Fort Collins Utilities Rooftop Solar Garden,Fort Collins,Colorado,2016,,https://gridalternatives.org/regions/colorado/get-solar/community-solar,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,,
374,Fort Collins,Colorado,40.5508527,-105.06681,Southwest,2015,2015,,Solar,Community Solar,0.620,,,,Fort Collins Utilities,Municipal Utility,Clean Energy Collective,Riverside Community Solar Array,Fort Collins,Colorado,2015,,https://cleanenergyco.com/news/press-release-cec-and-fort-collins-utilities-break-ground-on-community-solar-array/,https://www.cleanenergyco.com/blog/fort-collins-community-solar-array-doubles-in-size/,,,,,,,,,,,,,,,,,,,,,,
375,Fountain,Colorado,38.725168,-104.6453693,Southwest,2022,2022,02/01/2022,Solar,On-site,1.670,,30,,Fountain Utilities,Municipal Utility,Verege,Solar installation on city-owned land,Fountain,Colorado,,,"https://www.globenewswire.com/news-release/2022/02/01/2376937/0/en/They-City-of-Fountain-Takes-the-Bold-Step-to-Offset-100-of-its-Electricity-Usage.html#:~:text=City%20of%20Fountain%2C%20Colorado%2C%20Feb,the%20city's%20own%20electrical%20usage.",,,,,"Secured a Renewable and Clean Energy Initiative grant from the State of Colorado Department of Local Affairs for $1,350,000. Offset 100% of the city's municipal electricity usage",,,,,,,,,,,,,,,,,,
376,Fremont County,Colorado,38.4692006,-105.43286,Southwest,2021,2021,01/14/2021,Solar,On-site,0.500,,,,,,McKinstry,Florence-Penrose School District Solar,Fremont County,Colorado,,,https://www.canoncitydailyrecord.com/2021/01/14/energy-project-will-install-solar-panels-at-florence-junior-senior-high-school/,,,,,,,,,,,,,,,,,,,,,,,
377,Manitou Springs,Colorado,38.8551479,-104.9137243,Southwest,2021,2021,12/10/2021,Other,On-site,0.075,,,,Colorado Springs Utilities (CSU),Municipal Utility,Rentricity,Manitou Springs Water Treatment Plant's energy recovery system,Manitou Springs,Colorado,2022,,https://www.manitouspringsgov.com/DocumentCenter/View/3648/Manitou-Springs-Modernizes-Water-Infrastructure-for-Clean-Energy-Recovery-1210?bidId=,https://www.gjsentinel.com/news/colorado/pikes-peak-community-of-manitou-springs-improves-water-infrastructure-with-sustainable-clean-energy-recovery/article_d06a733e-df43-59ef-8364-4b4fd6484474.html,"https://gazette.com/news/local/manitou-springs-launches-new-hydropower-system-for-clean-energy-recovery/article_fa81c628-5eca-11ec-8bea-37e5e497b1cd.html#:~:text=Water%20piped%20from%20the%20Manitou,Inc.%2C%20city%20officials%20said.",,,,,,,,,,,,,,,,,,,,,
378,Moffat County,Colorado,40.6083135,-108.252345,Northwest,,2021,,Solar,On-site,0.209,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Craig Water Treatment Plant,Craig,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
379,Moffat County,Colorado,40.6083135,-108.252345,Northwest,,2021,,Solar,On-site,0.209,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Moffat County Safety Center,Craig,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
380,Moffat County,Colorado,40.6083135,-108.252345,Northwest,,2021,,Solar,On-site,0.243,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Moffat County High School,Craig,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
381,Moffat County,Colorado,40.6083135,-108.252345,Northwest,,2021,,Solar,On-site,0.271,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Craig Wastewater Treatment Plant,Craig,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
382,Platte River Power Authority,Colorado,40.5508527,-105.06681,Southwest,2020,2020,11/12/2020,Solar,Off-site Physical PPA,22.000,,,,Platte River Power Authority (PRPA),Municipal Utility,"Greenbacker Renewable Energy, DEPCOM",Rawhide Prairie Solar,Larimer County,Colorado,2021,,https://www.longmontcolorado.gov/Home/Components/News/News/11347/3,https://www.nsenergybusiness.com/news/greenbacker-rawhide-prairie-solar-project/,https://www.prpa.org/news-releases/new-solar-project-operational/,,,,,,,,,,,,,,,,,,,,,
383,Platte River Power Authority,Colorado,40.5508527,-105.06681,Southwest,2021,2021,05/04/2021,Solar,Off-site Physical PPA,150.000,,,,Platte River Power Authority (PRPA),Joint Action Agency,"174 Power Global, through its subsidiary BHS Solar LLC",Black Hollow Solar project,Weld County,Colorado,2023,"355,000",https://blackhollow.174powerglobal.com/,https://www.greeleytribune.com/2021/05/04/prpa-lays-out-plan-for-355k-mwh-solar-array-in-weld-county/,https://www.prpa.org/news-releases/largest-solar-project-to-serve-northern-colorado-communities-proposed/,https://www.coloradoan.com/story/news/2021/05/04/platte-river-power-authority-shares-details-major-solar-project/4945048001/,https://www.publicpower.org/periodical/article/platte-river-power-authority-begins-permitting-150-mw-solar-project,,,,,,,,,,,,,,,,,,,
384,Pueblo,Colorado,38.2544472,-104.60914,Southwest,2020,2020,06/03/2020,Solar,On-site,0.057,,30,,Black Hills Energy,Investor-owned Utility,Photon Brothers,,Pueblo City,Colorado,2020,,https://solarbusinesshub.com/2020/06/03/colorado-solar-installer-photon-brothers-completes-installation-of-a-57kw-rooftop-solar-pv-system-for-pueblo-regional-building-department/,,,,,,,,,,,,,,,,,,,,,,,
385,Rocky Ford,Colorado,38.052508,-103.7202274,Southwest,2021,2021,11/02/2021,Solar,Community Solar,2.500,,,,Black Hills Energy,Investor-owned Utility,US Solar,Rocky Ford Community Solar Garden,Pueblo,Colorado,,,https://www.us-solar.com/newsroom/the-city-of-rocky-ford-colorado-subscribes-to-a-us-solar-community-solar-garden,https://www.us-solar.com/solar-garden/uss-giveback-solar-llc,,,,,,,,,,,,,,,,,,,,,,
386,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.012,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Yampa Emergency Services Building,Steamboat Springs,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
387,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.020,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Oak Creek Town Hall,Oak Creek,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
388,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.036,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Hayden Police Station,Hayden,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
389,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.041,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Steamboat Transit Operations Center,Steamboat Springs,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
390,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.150,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Sleeping Giant School,Steamboat Springs,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
391,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.209,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Hayden Center,Hayden,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
392,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.209,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Hayden Wastewater Treatment Plant,Hayden,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
393,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.250,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Yampa Valley Regional Airport,Hayden,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
394,Routt County,Colorado,40.4514373,-106.9724072,Southwest,,2021,,Solar,On-site,0.418,,,,Yampa Valley Electric Association,Cooperative,McKinstry,Steamboat Wastewater Treatment Plant,Steamboat Springs,Colorado,2021,,https://www.craigdailypress.com/news/yampa-valley-cuts-ribbon-on-major-solar-project/,,,,,,,,,,,,,,,,,,,,,,,
395,San Miguel County ,Colorado,38.0292476,-108.47125,Southwest,2019,2019,,Solar,On-site,0.264,,,,Rocky Mountain Power (RMP),Investor-owned Utility,"Siemens Industry, Inc.","County Courthouse, Sheriff's Office, and Road and Bridge Facility Solar Arrays",San Miguel County a,Colorado,2021,,https://www.sanmiguelcountyco.gov/CivicAlerts.aspx?AID=918&ARC=1780,https://asq.naseo.org/news-article?NewsID=3604,,,,,,,,,,,,,,,,,,,,,,
396,Superior,Colorado,39.9527634,-105.1686,Southwest,2021,2021,04/12/2021,Wind,Green Tariff,0.977,,,15.00,Xcel Energy,Investor-owned Utility,,Xcel Windsource program,,Colorado,,"3,030",https://www.coloradohometownweekly.com/2021/04/19/superior-town-board-approves-transition-to-renewable-electricity-at-town-facilities/,https://www.superiorcolorado.gov/community/sustainability/climate-action,https://www.xcelenergy.com/staticfiles/xe-responsive/Company/Rates%20&%20Regulations/Regulatory%20Filings/2019%20RES%20Compliance%20Report.pdf,https://www.xcelenergy.com/staticfiles/xe/Marketing/Files/Windsource-Colorado-Res-FAQs.pdf,,,,,,,,,,,,,,,,,,,,
397,Weld County,Colorado,40.5632344,-104.48353,Southwest,2021,2021,02/23/2021,Solar,Community Solar,1.400,,20,,Xcel Energy,,Pivot Energy,Weld County RE-5J Solar,Weld County,Colorado,2021,,https://www.pivotenergy.net/pivot-energy-partners-with-weld-re-5j-school-district/,,,,,,,,,,,,,,,,,,,,,,,
398,Canterbury,Connecticut,41.6984209,-71.971081,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.132,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Canterbury Elementary School Solar Array,Canterbury,Connecticut,2015,,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,,,,,,,,,,,,,,,,,,,,,,
399,Clinton,Connecticut,41.2756115,-72.528532,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.132,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Jared Eliot Middle School Solar Array,Clinton,Connecticut,2015,150,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,https://www.greenskies.com/about/news/solar-systems-joel-and-eliot-schools-clinton-expected-bring-down-bills,,,,,,,,,,,,,,,,,,,,,
400,Clinton,Connecticut,41.2756115,-72.528532,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.132,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Joel Elementary School Solar Array,Clinton,Connecticut,2015,150,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,https://www.greenskies.com/about/news/solar-systems-joel-and-eliot-schools-clinton-expected-bring-down-bills,,,,,,,,,,,,,,,,,,,,,
401,East Haven,Connecticut,41.2762081,-72.868434,New England (ISO-NE),2017,2017,12/19/2017,Solar,On-site,1.170,,20,,United Illuminating,Investor-owned Utility,Greenskies Clean Energy LLC,East Haven Landfill Solar Array,East Haven,Connecticut,2021,"1,640",https://www.nhregister.com/news/article/Thousands-of-new-solar-panels-to-save-East-Haven-16218761.php,https://www.greenskies.com/about/news/east-havens-former-landfill-become-solar-farm,,,,,,,,,,,,,,,,,,,,,,
402,Fairfield,Connecticut,41.1412078,-73.263726,New England (ISO-NE),,2019,,Solar,On-site,0.183,,,,United Illuminating,Investor-owned Utility,Greenskies Renewable Energy LLC,Solar array at Fairfield Woods Middle School ,Fairfield,Connecticut,2019,244,https://www.fairfieldct.org/news/?FeedID=2673&fbclid=IwAR0569NkdjCz038fw70JosgRdT6lGufciZIAyuEOuKfUWY1C-vrj7g33hJI,,,,,,,,,,,,,,,,,,,,,,,
403,Fairfield,Connecticut,41.1412078,-73.263726,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.527,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Ludlowe High School Solar Array,Fairfield,Connecticut,2015,,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,,,,,,,,,,,,,,,,,,,,,,
404,Fairfield,Connecticut,41.1412078,-73.263726,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.725,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Warde High School Solar Array,Fairfield,Connecticut,2015,,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,,,,,,,,,,,,,,,,,,,,,,
405,Mansfield,Connecticut,41.7782147,-72.213157,New England (ISO-NE),2020,2020,12/29/2020,Solar,On-site,0.096,,20,85.00,Eversource Energy,Investor-owned Utility,CEFIA Solar Services Inc.,Solar panels at the town garage (Connecticut Green Bank’s Solar Municipal Assistance Program),Mansfield,Connecticut,,,https://thechronicle.com/stories/20201229SOLAR.php,,,,,,,,,,,,,,,,,,,,,,,
406,Mansfield,Connecticut,41.7782147,-72.213157,New England (ISO-NE),2020,2020,12/29/2020,Solar,On-site,0.127,,20,83.00,Eversource Energy,Investor-owned Utility,CEFIA Solar Services Inc.,Solar panels at the town hall (Connecticut Green Bank’s Solar Municipal Assistance Program),Mansfield,Connecticut,,,https://thechronicle.com/stories/20201229SOLAR.php,,,,,,,,,,,,,,,,,,,,,,,
407,Meriden,Connecticut,41.5381535,-72.8070435,New England (ISO-NE),2021,2021,09/28/2021,Solar,On-site,0.630,,20,59.00,Eversource Energy,Investor-owned Utility,Davis Hill Development,Platt and Maloney high schools solar arrays,Meriden,Connecticut,2022,,https://www.myrecordjournal.com/News/Meriden/Meriden-News/Contractors-to-install-solar-panels-on-roofs-of-Platt-and-Maloney-high-schools.html#gallery-3,,,,,,,,,,,,,,,,,,,,,,,
408,Montville,Connecticut,41.464,-72.1556,New England (ISO-NE),2021,2021,12/26/2021,Solar,On-site,0.649,,20,,Eversource,Investor-owned Utility,Verogy,Montville transfer station solar array (solar landfill),Montville,Connecticut,2023,961,https://www.theday.com/article/20211226/NWS01/211229627,,,,,,,,,,,,,,,,,,,,,,,
409,Norwalk,Connecticut,41.1175966,-73.4078968,New England (ISO-NE),2017,2017,03/20/2017,Solar,On-site,0.172,AC,15,40.00,Connecticut Light & Power Company,Investor-owned Utility,Greenskies Clean Energy LLC,Naramake Elementary School Solar Project,Norwalk,Connecticut,2021,288,https://www.thehour.com/news/article/Solar-power-on-the-rise-in-Norwalk-school-16771059.php,https://www.norwalkct.org/DocumentCenter/View/9715/3670-Renewable-Energy-FINAL?bidId=,https://www.nancyonnorwalk.com/wp-content/uploads/2017/03/Revised-Norwalk-Proposal-BOE.pdf,https://www.thehour.com/news/article/Solar-energy-up-for-votes-before-Norwalk-council-11004828.php,,,,,,,,,,,,,,,,,,,,
410,Southington,Connecticut,41.6005435,-72.878294,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.143,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Plantsville Elementary School Solar Array,Southington,Connecticut,2015,,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,,,,,,,,,,,,,,,,,,,,,,
411,Southington,Connecticut,41.6005435,-72.878294,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.324,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,South End Elementary School Solar Array,Southington,Connecticut,2015,,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,,,,,,,,,,,,,,,,,,,,,,
412,Southington,Connecticut,41.6005435,-72.878294,New England (ISO-NE),2015,2015,03/04/2015,Solar,On-site,0.324,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Hatton Elementary School Solar Array,Southington,Connecticut,2015,,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-8-schools-4-connecticut-towns,,,,,,,,,,,,,,,,,,,,,,
413,Southington,Connecticut,41.6005435,-72.878294,New England (ISO-NE),2015,2015,12/01/2015,Solar,On-site,0.650,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,John F. Kennedy Middle School and Joseph A. DePaolo Middle School Rooftop Solar Array,Southington,Connecticut,2016,387,https://www.greenskies.com/projects,https://www.greenskies.com/about/press-releases/greenskies-build-solar-arrays-southington-schools,https://www.greenskies.com/about/news/solar-panel-projects-approved-southington-council,https://www.greenskies.com/about/news/greenskies-install-solar-panels-middle-school-roofs,,,,,,,,,,,,,,,,,,,,
414,Trumbull,Connecticut,41.2428742,-73.200669,New England (ISO-NE),2016,2016,03/22/2016,Solar,On-site,0.266,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Frenchtown Elementary School Solar Array,Trumbull,Connecticut,2018,,https://www.greenskies.com/projects,https://www.greenskies.com/about/news/going-green-five-trumbull-schools-receive-solar-arrays,https://solarbuildermag.com/news/four-schools-go-solar-in-trumbull-connecticut-thanks-to-greenskies/,https://www.greenskies.com/about/news/four-schools-go-solar-trumbull-connecticut-greenskies-renewable-energy,,,,,,,,,,,,,,,,,,,,
415,Trumbull,Connecticut,41.2428742,-73.200669,New England (ISO-NE),2016,2016,03/22/2016,Solar,On-site,0.269,,20,,Eversource Energy,Investor-owned Utility,Greenskies Renewable Energy,Hillcrest Middle School Solar Array,Trumbull,Connecticut,2018,,https://www.greenskies.com/projects,https://www.greenskies.com/about/news/going-green-five-trumbull-schools-receive-solar-arrays,https://solarbuildermag.com/news/four-schools-go-solar-in-trumbull-connecticut-thanks-to-greenskies/,https://www.greenskies.com/about/news/four-schools-go-solar-trumbull-connecticut-greenskies-renewable-energy,,,,,,,,,,,,,,,,,,,,
